,"Table S1 All DEGs obtained in this study with annotation and TPM. Pre-po, Pol, Post-pol y Fer",,,,,,,,,,,,
TRINITY_DN5895_c0_g1_i48,YAI5_SCHPO,PF13419.7,Haloacid dehalogenase-like hydrolase  ,.,.,|0016787,|hydrolase activity,.,.,0,73.776,0,2.331
TRINITY_DN5895_c0_g1_i57,YAI5_SCHPO,PF13419.7,Haloacid dehalogenase-like hydrolase  ,.,.,|0016787,|hydrolase activity,.,.,58.1705,180.357,216.5895,0
TRINITY_DN5897_c0_g1_i9,SMC3_ARATH,PF02463.20,RecF/RecN/SMC N terminal domain ,|0051301|0051276|0006468,|cell division|chromosome organization|protein phosphorylation,|0004672|0005524,|protein kinase activity|ATP binding,|0005694|0005634,|chromosome|nucleus,129.2325,120.008,161.166,0
TRINITY_DN590_c0_g1_i9,ARAE1_ORYSJ,PF16363.6,GDP-mannose 4,|0006012|0033358|0045227,|galactose metabolic process|UDP-L-arabinose biosynthetic process|capsule polysaccharide biosynthetic process,|0003978|0050373,|UDP-glucose 4-epimerase activity|UDP-arabinose 4-epimerase activity,|0032580|0016021,|Golgi cisterna membrane|integral component of membrane,185.3275,414.288,0,83.117
TRINITY_DN5942_c0_g1_i2,CDKG2_ORYSJ,PF00069.26,Protein kinase domain  ,|0051726|0006468,|regulation of cell cycle|protein phosphorylation,|0004693|0005524,|cyclin-dependent protein serine/threonine kinase activity|ATP binding,.,.,300.1665,383.1985,89.729,0
TRINITY_DN5942_c0_g1_i31,CDKG2_ORYSJ,PF00069.26,Protein kinase domain  ,|0051726|0006468,|regulation of cell cycle|protein phosphorylation,|0004693|0005524,|cyclin-dependent protein serine/threonine kinase activity|ATP binding,.,.,572.8075,101.3765,1202.2495,595.772
TRINITY_DN594_c0_g1_i7,UBP1C_ARATH,PF00076.23,RNA recognition motif. (a.k.a. RRM,.,.,|0003723,|RNA binding,.,.,287.216,187.728,23.5,0
TRINITY_DN6006_c0_g1_i1,SEOB_ARATH,PF14576.7,Sieve element occlusion N-terminus ,|0010088,|phloem development,.,.,|0016021,|integral component of membrane,434.4075,1374.314,655.1775,0
TRINITY_DN6029_c0_g1_i7,G6PD_SOLTU,PF02781.17,Glucose-6-phosphate dehydrogenase,.,.,.,.,.,.,105.2215,79.745,223.9645,0
TRINITY_DN6064_c0_g1_i2,UBR7_HUMAN,PF02207.21,Putative zinc finger in N-recognin,|0016567,|protein ubiquitination,|0061630|0008270|0003723,|ubiquitin protein ligase activity|zinc ion binding|RNA binding,|0005737,|cytoplasm,196,34,293,180.5
TRINITY_DN6088_c0_g1_i1,BKI1_ARATH,.,.,|0033673|0016310|0010423|0009742|0001933|0045859|0006629,|negative regulation of kinase activity|phosphorylation|negative regulation of brassinosteroid biosynthetic process|brassinosteroid mediated signaling pathway|negative regulation of protein phosphorylation|regulation of protein kinase activity|lipid metabolic process,|0019210|0016301|0019887|0046982,|kinase inhibitor activity|kinase activity|protein kinase regulator activity|protein heterodimerization activity,|0005886|0005829,|plasma membrane|cytosol,51.4925,0,88.5515,54.001
TRINITY_DN6096_c0_g1_i154,EDL16_ARATH,PF04846.14,Herpesvirus pp38 phosphoprotein  ,.,.,.,.,.,.,113.843,27.953,0,0
TRINITY_DN6100_c0_g1_i9,FPPS1_ARTSI,PF00348.18,Polyprenyl synthetase   ,|0008299|0045338|0033383|0008654|0006695|0016135|0002238|0001878|0009751|0009753|0006722|0016116|0046148|0015031|0008299|0045338|0008654|0033383|0006695|0016135|0033993|0009725|0002238|1901700|0001878|0006722|0016108|0014070|0046148|0015031,|isoprenoid biosynthetic process|farnesyl diphosphate metabolic process|geranyl diphosphate metabolic process|phospholipid biosynthetic process|cholesterol biosynthetic process|saponin biosynthetic process|response to molecule of fungal origin|response to yeast|response to salicylic acid|response to jasmonic acid|triterpenoid metabolic process|carotenoid metabolic process|pigment biosynthetic process|protein transport|isoprenoid biosynthetic process|farnesyl diphosphate metabolic process|phospholipid biosynthetic process|geranyl diphosphate metabolic process|cholesterol biosynthetic process|saponin biosynthetic process|response to lipid|response to hormone|response to molecule of fungal origin|response to oxygen-containing compound|response to yeast|triterpenoid metabolic process|tetraterpenoid metabolic process|response to organic cyclic compound|pigment biosynthetic process|protein transport,|0016765|0016829|0046872|0016765|0046872|2001070|0016829,|transferase activity transferring alkyl or aryl (other than methyl) groups|lyase activity|metal ion binding|transferase activity transferring alkyl or aryl (other than methyl) groups|metal ion binding|starch binding|lyase activity,|0005737|0043231|0005737|0043231|0016021,|cytoplasm|intracellular membrane-bounded organelle|cytoplasm|intracellular membrane-bounded organelle|integral component of membrane,349.9735,146.6315,96.5975,0
TRINITY_DN6149_c0_g1_i6,Y3130_ARATH,PF00069.26,Protein kinase domain  ,|0016310|0006464,|phosphorylation|cellular protein modification process,|0016301|0016773|0140096|0005524,|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ATP binding,.,.,0,31.5465,319.38,122.304
TRINITY_DN6158_c0_g1_i2,C3H53_ORYSJ,PF00642.25,Zinc finger C-x8-C-x5-C-x3-H type (and,.,.,|0003723|0003677|0046872,|RNA binding|DNA binding|metal ion binding,.,.,365.118,355.016,20.5995,0
TRINITY_DN6163_c0_g1_i3,MURG_SALRD,PF04101.17,Glycosyltransferase family 28 C-terminal domain,|0030259|0008360|0071555|0007049|0051301|0005975,|lipid glycosylation|regulation of cell shape|cell wall organization|cell cycle|cell division|carbohydrate metabolic process,|0050511,|undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity,|0005886|0016021,|plasma membrane|integral component of membrane,433.2705,438.362,409.998,27.5
TRINITY_DN616_c0_g1_i4,HMGB7_ARATH,PF00505.20,HMG (high mobility group) box,|0010197,|polar nucleus fusion,|0003677,|DNA binding,|0005634|0016021,|nucleus|integral component of membrane,111.005,127.813,62.4325,0
TRINITY_DN618_c0_g1_i8,ACINU_MOUSE,PF16294.6,RNSP1-SAP18 binding (RSB) motif ,|0006397,|mRNA processing,|0003676,|nucleic acid binding,.,.,104.5855,55.8105,0,0
TRINITY_DN6198_c0_g1_i3,FRAY2_DICDI,PF00069.26,Protein kinase domain  ,|0016310|0006464,|phosphorylation|cellular protein modification process,|0016301|0016773|0140096|0005524,|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ATP binding,|0016021,|integral component of membrane,72.55,95.3925,104.902,0
TRINITY_DN6218_c0_g1_i16,IMB1_ARATH,PF13513.7,HEAT-like repeat   ,|0006606,|protein import into nucleus,|0008139|0061608,|nuclear localization sequence binding|nuclear import signal receptor activity,|0005737|0005634|0016021,|cytoplasm|nucleus|integral component of membrane,136.771,23.1285,0,0
TRINITY_DN6227_c0_g1_i14,SDN5_ARATH,PF00929.25,Exonuclease    ,|0090305,|nucleic acid phosphodiester bond hydrolysis,|0003676|0004527,|nucleic acid binding|exonuclease activity,|0005634,|nucleus,130.2565,114.871,29.2575,0
TRINITY_DN6236_c0_g1_i6,AMSH1_ARATH,PF01398.22,JAB1/Mov34/MPN/PAD-1 ubiquitin protease  ,|0070536|0071108|0018215,|protein K63-linked deubiquitination|protein K48-linked deubiquitination|protein phosphopantetheinylation,|0061578|0070122|0008237|0004843,|Lys63-specific deubiquitinase activity|isopeptidase activity|metallopeptidase activity|thiol-dependent ubiquitin-specific protease activity,|0005768|0016020,|endosome|membrane,403.1235,395.7185,433.2695,14
TRINITY_DN6243_c0_g1_i1,CMT1_MAIZE,PF00145.18,C-5 cytosine-specific DNA methylase ,|0090116|0006325,|C-5 methylation of cytosine|chromatin organization,|0003682|0003886|0003677,|chromatin binding|DNA (cytosine-5-)-methyltransferase activity|DNA binding,|0005634,|nucleus,0,50.5375,102.2035,0
TRINITY_DN6263_c0_g1_i3,Y1790_ARATH,PF03000.15,NPH3 family   ,|0016567,|protein ubiquitination,.,.,.,.,12,93,180.558,225.329
TRINITY_DN6332_c1_g1_i1,PPO_MALDO,PF12143.9,Protein of unknown function (DUF_B2219),.,.,.,.,.,.,67.7145,63.3985,0,0
TRINITY_DN6333_c0_g1_i11,SAC4_ARATH,PF02383.19,SacI homology domain  ,|0036092|0046856|0036092|0046856|0007033,|phosphatidylinositol-3-phosphate biosynthetic process|phosphatidylinositol dephosphorylation|phosphatidylinositol-3-phosphate biosynthetic process|phosphatidylinositol dephosphorylation|vacuole organization,|0043813|0004571|0043813,|phosphatidylinositol-35-bisphosphate 5-phosphatase activity|mannosyl-oligosaccharide 12-alpha-mannosidase activity|phosphatidylinositol-35-bisphosphate 5-phosphatase activity,|0005774|0016021|0005774|0016021,|vacuolar membrane|integral component of membrane|vacuolar membrane|integral component of membrane,0,56.4845,14.066,50.7905
TRINITY_DN6376_c0_g1_i31,CNR6_MAIZE,PF04749.18,PLAC8 family   ,|0007017,|microtubule-based process,.,.,|0016021|0030286,|integral component of membrane|dynein complex,121.4015,67.437,0,3.619
TRINITY_DN6390_c0_g1_i4,ZDH15_ARATH,PF01529.21,DHHC palmitoyltransferase   ,|0018215|0018231|0018345|0006612|1900055|0010150|2000377|0007165,|protein phosphopantetheinylation|peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine|protein palmitoylation|protein targeting to membrane|regulation of leaf senescence|leaf senescence|regulation of reactive oxygen species metabolic process|signal transduction,|0019706,|protein-cysteine S-palmitoyltransferase activity,|0005794|0005783|0016021|0005769|0031984,|Golgi apparatus|endoplasmic reticulum|integral component of membrane|early endosome|organelle subcompartment,95.6715,65.591,151.613,0
TRINITY_DN6413_c0_g1_i10,AGO7_ORYSJ,PF02171.18,Piwi domain   ,|0031047|0010492|0016441|0090305,|gene silencing by RNA|maintenance of shoot apical meristem identity|posttranscriptional gene silencing|nucleic acid phosphodiester bond hydrolysis,|0003676|0004527|0004386,|nucleic acid binding|exonuclease activity|helicase activity,.,.,1046.3675,570.6175,66.8585,138.6825
TRINITY_DN641_c0_g1_i2,TGT3B_ARATH,PF13837.7,Myb/SANT-like DNA-binding domain  ,|0006355,|regulation of transcription DNA-templated,|0043565|0003700,|sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus,224.252,186.801,379.685,9.5
TRINITY_DN6442_c0_g1_i4,PBL7_ARATH,PF00069.26,Protein kinase domain  ,|0006468,|protein phosphorylation,|0004674|0005524,|protein serine/threonine kinase activity|ATP binding,|0016021,|integral component of membrane,89.682,0,0,0
TRINITY_DN6446_c0_g1_i2,TRPA1_ARATH,PF13177.7,DNA polymerase III,|0006260|0006281|0000162|0009851,|DNA replication|DNA repair|tryptophan biosynthetic process|auxin biosynthetic process,|0003677|0033170|0140097|0005524|0004834|0033984,|DNA binding|protein-DNA loading ATPase activity|catalytic activity acting on DNA|ATP binding|tryptophan synthase activity|indole-3-glycerol-phosphate lyase activity,|0005663|0005634|0005829|0009507,|DNA replication factor C complex|nucleus|cytosol|chloroplast,185.7555,189.6845,81.954,0
TRINITY_DN6470_c0_g1_i5,TBCD_ARATH,PF12612.9,Tubulin folding cofactor D C,|0007021|0007023|0043547|0009793|0007017|0007010,|tubulin complex assembly|post-chaperonin tubulin folding pathway|positive regulation of GTPase activity|embryo development ending in seed dormancy|microtubule-based process|cytoskeleton organization,|0048487|0005096,|beta-tubulin binding|GTPase activator activity,|0009506|0005829|0016021,|plasmodesma|cytosol|integral component of membrane,54.7205,266.735,17.652,0.5
TRINITY_DN6487_c1_g1_i2,SWT15_ORYSI,PF03083.17,Sugar efflux transporter for intercellular,|0008643|0071836|0098656|0048316|0048609|0071695|0051260|0009790|0048653|0046865|0048589|0015849,|carbohydrate transport|nectar secretion|anion transmembrane transport|seed development|multicellular organismal reproductive process|anatomical structure maturation|protein homooligomerization|embryo development|anther development|terpenoid transport|developmental growth|organic acid transport,|0015144|1905201|0005515,|carbohydrate transmembrane transporter activity|gibberellin transmembrane transporter activity|protein binding,|0005886|0032588|0016021|0012506,|plasma membrane|trans-Golgi network membrane|integral component of membrane|vesicle membrane,35.211,0,0,58.8965
TRINITY_DN6491_c0_g1_i39,Y1342_ARATH,PF00628.30,PHD-finger    ,.,.,|0046872,|metal ion binding,|0016021,|integral component of membrane,64.876,80.3495,0,0
TRINITY_DN649_c0_g1_i96,LAMP1_ARATH,PF04253.16,Transferrin receptor-like dimerisation domain ,|0006508|0010073|0040008|0007275,|proteolysis|meristem maintenance|regulation of growth|multicellular organism development,|0004180|0008235|0046872,|carboxypeptidase activity|metalloexopeptidase activity|metal ion binding,|0005773|0005789|0016021,|vacuole|endoplasmic reticulum membrane|integral component of membrane,0,54.5755,0,79.1555
TRINITY_DN6502_c0_g1_i57,TUR2_SPIPO,PF01061.25,ABC-2 type transporter  ,|0055085|0006952|0008643,|transmembrane transport|defense response|carbohydrate transport,|0042626|0005524|0015407,|ATPase-coupled transmembrane transporter activity|ATP binding|ATPase-coupled monosaccharide transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane,25.561,0,112.2255,0
TRINITY_DN6502_c0_g1_i61,TUR2_SPIPO,PF08370.12,Plant PDR ABC transporter associated,|0055085|0055085|0006952|0008643,|transmembrane transport|transmembrane transport|defense response|carbohydrate transport,|0042626|0005524|0042626|0005524|0015407,|ATPase-coupled transmembrane transporter activity|ATP binding|ATPase-coupled transmembrane transporter activity|ATP binding|ATPase-coupled monosaccharide transmembrane transporter activity,|0016021|0016021|0005886,|integral component of membrane|integral component of membrane|plasma membrane,96.7355,337.1595,0,0
TRINITY_DN6502_c0_g1_i80,TUR2_SPIPO,PF01061.25,ABC-2 type transporter  ,|0055085|0006952|0008643,|transmembrane transport|defense response|carbohydrate transport,|0042626|0005524|0015407,|ATPase-coupled transmembrane transporter activity|ATP binding|ATPase-coupled monosaccharide transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane,0,85.855,14.073,0
TRINITY_DN6505_c0_g1_i14,SYLM_ARATH,PF00133.23,tRNA synthetases class I (I,|0006429|0106074|0009793|0006419,|leucyl-tRNA aminoacylation|aminoacyl-tRNA metabolism involved in translational fidelity|embryo development ending in seed dormancy|alanyl-tRNA aminoacylation,|0004823|0002161|0005524|0004813|0016757|0003676,|leucine-tRNA ligase activity|aminoacyl-tRNA editing activity|ATP binding|alanine-tRNA ligase activity|transferase activity transferring glycosyl groups|nucleic acid binding,|0005829|0009570|0005739|0005794|0016020,|cytosol|chloroplast stroma|mitochondrion|Golgi apparatus|membrane,61.5175,0,118.5735,0
TRINITY_DN6505_c0_g1_i40,SYLM_ARATH,PF08264.14,Anticodon-binding domain of tRNA ligase,|0006429|0106074|0001682|0009793|0090502|0006429|0106074|0009793|0006419,|leucyl-tRNA aminoacylation|aminoacyl-tRNA metabolism involved in translational fidelity|tRNA 5'-leader removal|embryo development ending in seed dormancy|RNA phosphodiester bond hydrolysis endonucleolytic|leucyl-tRNA aminoacylation|aminoacyl-tRNA metabolism involved in translational fidelity|embryo development ending in seed dormancy|alanyl-tRNA aminoacylation,|0004823|0002161|0005524|0004823|0002161|0005524|0016757|0004813|0003676,|leucine-tRNA ligase activity|aminoacyl-tRNA editing activity|ATP binding|leucine-tRNA ligase activity|aminoacyl-tRNA editing activity|ATP binding|transferase activity transferring glycosyl groups|alanine-tRNA ligase activity|nucleic acid binding,|0005655|0000172|0009570|0005829|0005739|0005829|0009570|0005739|0005794|0016020,|nucleolar ribonuclease P complex|ribonuclease MRP complex|chloroplast stroma|cytosol|mitochondrion|cytosol|chloroplast stroma|mitochondrion|Golgi apparatus|membrane,85.06,0,0,133.989
TRINITY_DN6514_c0_g1_i2,GFT1_ARATH,PF03151.17,Triose-phosphate Transporter family  ,|0015783,|GDP-fucose transmembrane transport,|0005457|0015297,|GDP-fucose transmembrane transporter activity|antiporter activity,|0005794|0016021,|Golgi apparatus|integral component of membrane,75.4415,101.3615,186.151,0
TRINITY_DN6514_c0_g1_i3,GFT1_ARATH,PF03151.17,Triose-phosphate Transporter family  ,|0015783,|GDP-fucose transmembrane transport,|0005457|0015297,|GDP-fucose transmembrane transporter activity|antiporter activity,|0005794|0016021,|Golgi apparatus|integral component of membrane,0,133.2255,56.1925,4.0835
TRINITY_DN6519_c0_g2_i3,AAP6_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0009734|0006865|0055085,|auxin-activated signaling pathway|amino acid transport|transmembrane transport,|0015293,|symporter activity,|0016021,|integral component of membrane,181.436,116.48,3.522,0
TRINITY_DN6531_c0_g1_i2,NEMF_HUMAN,PF05670.14,NFACT protein RNA binding domain,|1990116|0072344|0016567,|ribosome-associated ubiquitin-dependent protein catabolic process|rescue of stalled ribosome|protein ubiquitination,|0008270|0003676|0043023|0016746|0004842,|zinc ion binding|nucleic acid binding|ribosomal large subunit binding|transferase activity transferring acyl groups|ubiquitin-protein transferase activity,|1990112,|RQC complex,0,88.411,212.357,57.8635
TRINITY_DN6531_c0_g1_i4,NEMF_MOUSE,PF05670.14,NFACT protein RNA binding domain,|1990116|0072344|0016567,|ribosome-associated ubiquitin-dependent protein catabolic process|rescue of stalled ribosome|protein ubiquitination,|0008270|0003676|0043023|0016746|0004842,|zinc ion binding|nucleic acid binding|ribosomal large subunit binding|transferase activity transferring acyl groups|ubiquitin-protein transferase activity,|1990112,|RQC complex,0,97.1585,110.687,29.64
TRINITY_DN6534_c0_g1_i21,APGM_METKA,PF10143.10,2,.,.,|0046537|0046872,|23-bisphosphoglycerate-independent phosphoglycerate mutase activity|metal ion binding,.,.,148.4165,121.5205,17.5715,7
TRINITY_DN6573_c0_g1_i2,SCL28_ARATH,PF03514.15,GRAS domain family  ,|1900459|0006355,|positive regulation of brassinosteroid mediated signaling pathway|regulation of transcription DNA-templated,|0043565|0003700|0046983,|sequence-specific DNA binding|DNA-binding transcription factor activity|protein dimerization activity,|0005634,|nucleus,337.016,216.64,168.5,4
TRINITY_DN6573_c0_g2_i1,SCL28_ARATH,PF03514.15,GRAS domain family  ,|1900459|0006355,|positive regulation of brassinosteroid mediated signaling pathway|regulation of transcription DNA-templated,|0043565|0003700|0046983,|sequence-specific DNA binding|DNA-binding transcription factor activity|protein dimerization activity,|0005634,|nucleus,212.8345,615.356,0,365.152
TRINITY_DN6616_c0_g1_i3,TMN12_ARATH,PF02990.17,Endomembrane protein 70  ,|0072657|0006817,|protein localization to membrane|phosphate ion transport,.,.,|0010008|0000139|0016021|0009506|0005802|0005774,|endosome membrane|Golgi membrane|integral component of membrane|plasmodesma|trans-Golgi network|vacuolar membrane,254.321,233.0775,0,110.654
TRINITY_DN6627_c0_g1_i15,ALAT2_ARATH,PF00155.22,Aminotransferase class I and II,|0009058|0042853,|biosynthetic process|L-alanine catabolic process,|0008483|0030170,|transaminase activity|pyridoxal phosphate binding,|0016021,|integral component of membrane,75.232,103.857,114.328,0
TRINITY_DN6646_c0_g1_i4,SRF7_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0018212,|protein phosphorylation|peptidyl-tyrosine modification,|0004672|0005524,|protein kinase activity|ATP binding,|0016021|0005886,|integral component of membrane|plasma membrane,0,0,108.816,0
TRINITY_DN6652_c0_g1_i1,NFYA2_ARATH,PF02045.16,CCAAT-binding transcription factor (CBF-B/NF-YA) subunit,|0006355,|regulation of transcription DNA-templated,|0003700|0003677|0001067|0003723,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|RNA binding,|0016602|0000785|0016021,|CCAAT-binding factor complex|chromatin|integral component of membrane,0,216.052,53.4195,0
TRINITY_DN6659_c0_g1_i2,PWD_ORYSJ,PF01326.20,Pyruvate phosphate dikinase,|0016310|0005982|0006464|0009251|0044247,|phosphorylation|starch metabolic process|cellular protein modification process|glucan catabolic process|cellular polysaccharide catabolic process,|2001070|0016301|0005524|0102217|0046872,|starch binding|kinase activity|ATP binding|6-phosphoglucan water dikinase activity|metal ion binding,|0009570,|chloroplast stroma,62.083,82.557,0,11.7705
TRINITY_DN666_c0_g1_i4,RTNLP_ARATH,PF02453.18,Reticulon    ,|0090305,|nucleic acid phosphodiester bond hydrolysis,|0004519|0008270,|endonuclease activity|zinc ion binding,|0005789|0016021,|endoplasmic reticulum membrane|integral component of membrane,0,0,77.7535,0
TRINITY_DN6688_c0_g1_i2,STN8_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0042548|0009643|0007623|0006468|0042549,|protein phosphorylation|regulation of photosynthesis light reaction|photosynthetic acclimation|circadian rhythm|protein phosphorylation|photosystem II stabilization,|0004672|0005524|0005515|0004672|0005524,|protein kinase activity|ATP binding|protein binding|protein kinase activity|ATP binding,|0009579|0009507|0031984|0016021|0009579|0009507|0031984|0016021,|thylakoid|chloroplast|organelle subcompartment|integral component of membrane|thylakoid|chloroplast|organelle subcompartment|integral component of membrane,0,42.344,0,112.986
TRINITY_DN668_c0_g1_i11,PTR18_ARATH,PF13380.7,CoA binding domain  ,|0010336|0055085,|gibberellic acid homeostasis|transmembrane transport,|0022857,|transmembrane transporter activity,|0097708|0005886|0016021,|intracellular vesicle|plasma membrane|integral component of membrane,127.9995,104.1755,127.366,0
TRINITY_DN669_c0_g1_i1,EIL1B_ORYSJ,PF04873.14,Ethylene insensitive 3  ,|0009873|0006355,|ethylene-activated signaling pathway|regulation of transcription DNA-templated,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634|0016021,|nucleus|integral component of membrane,69.098,124.742,0,0
TRINITY_DN674_c0_g1_i3,TF3B_MOUSE,PF00382.20,Transcription factor TFIIB repeat ,|0070897|0006383|0070897|0006383,|transcription preinitiation complex assembly|transcription by RNA polymerase III|transcription preinitiation complex assembly|transcription by RNA polymerase III,|0017025|0000995|0001006|0000995|0017025|0001006,|TBP-class protein binding|RNA polymerase III general transcription initiation factor activity|RNA polymerase III type 3 promoter sequence-specific DNA binding|RNA polymerase III general transcription initiation factor activity|TBP-class protein binding|RNA polymerase III type 3 promoter sequence-specific DNA binding,|0000126|0097550|0005634|0000126|0097550|0005634,|transcription factor TFIIIB complex|transcription preinitiation complex|nucleus|transcription factor TFIIIB complex|transcription preinitiation complex|nucleus,0,55.6675,0,0
TRINITY_DN6785_c0_g1_i19,MORC2_ARATH,PF17942.2,Morc6 ribosomal protein S5 domain,|0090305|1902290|0140458|0031935,|nucleic acid phosphodiester bond hydrolysis|positive regulation of defense response to oomycetes|pre-transcriptional gene silencing by RNA|regulation of chromatin silencing,|0004519|0042803|0016887|0005507,|endonuclease activity|protein homodimerization activity|ATPase activity|copper ion binding,|0009506|0009941|0005634,|plasmodesma|chloroplast envelope|nucleus,14.5895,0,121.7995,0
TRINITY_DN6812_c0_g1_i2,LNG1_ARATH,PF14309.7,Domain of unknown function (DUF4378),.,.,.,.,.,.,63.2805,0,0,15.8645
TRINITY_DN6833_c0_g1_i19,REV1_ARATH,PF00817.21,impB/mucB/samB family   ,|0042276|0070987|0010224,|error-prone translesion synthesis|error-free translesion synthesis|response to UV-B,|0003684|0016779|0140097|0046872,|damaged DNA binding|nucleotidyltransferase activity|catalytic activity acting on DNA|metal ion binding,|0005634,|nucleus,129.3845,144.1185,100.2365,0
TRINITY_DN6864_c0_g1_i1,SC31B_ARATH,PF12931.8,Sec23-binding domain of Sec16 ,|0006888|0035459|0006900|0007029|0006886,|endoplasmic reticulum to Golgi vesicle-mediated transport|vesicle cargo loading|vesicle budding from membrane|endoplasmic reticulum organization|intracellular protein transport,|0005198,|structural molecule activity,|0005783|0030127|0000139|0016021,|endoplasmic reticulum|COPII vesicle coat|Golgi membrane|integral component of membrane,191.275,179.152,187.6015,0
TRINITY_DN6910_c0_g1_i2,Y6944_ORYSJ,PF02362.22,B3 DNA binding domain ,.,.,|0003677,|DNA binding,|0005634|0016021,|nucleus|integral component of membrane,151.553,71.1685,143.722,0
TRINITY_DN692_c0_g1_i19,DHR12_BOVIN,.,.,.,.,.,.,.,.,270.6865,182.0075,29.2875,1.02
TRINITY_DN694_c0_g1_i7,LEC2_COLES,PF01453.25,D-mannose binding lectin  ,.,.,|0030246,|carbohydrate binding,.,.,33.0035,197.381,376.6195,190.397
TRINITY_DN6964_c0_g1_i1,GOLS2_ARATH,PF01501.21,Glycosyl transferase family 8 ,|0006012|0009409|0006979|0009651|0009414|0009737|0009408,|galactose metabolic process|response to cold|response to oxidative stress|response to salt stress|response to water deprivation|response to abscisic acid|response to heat,|0047216,|inositol 3-alpha-galactosyltransferase activity,|0005737,|cytoplasm,46.095,106.673,101.289,0
TRINITY_DN6970_c0_g1_i5,HVT1_ARATH,PF04408.24,Helicase associated domain (HA2) ,.,.,|0003724|0005524|0003676,|RNA helicase activity|ATP binding|nucleic acid binding,|0005634|0016021,|nucleus|integral component of membrane,0,16.4815,113.761,0
TRINITY_DN6976_c0_g1_i7,PP159_ARATH,PF13041.7,PPR repeat family  ,|0009451|0045489|0009793,|RNA modification|pectin biosynthetic process|embryo development ending in seed dormancy,|0008270|0003723|0047262|0016787,|zinc ion binding|RNA binding|polygalacturonate 4-alpha-galacturonosyltransferase activity|hydrolase activity,|0043231|0005737,|intracellular membrane-bounded organelle|cytoplasm,0,14.174,144.246,0
TRINITY_DN697_c0_g1_i1,FTSHB_ARATH,PF01434.19,Peptidase family M41  ,|0006508|0009408|0010304|0009644|0051301|0006508|0009408|0010304|0009644|0051301,|proteolysis|response to heat|PSII associated light-harvesting complex II catabolic process|response to high light intensity|cell division|proteolysis|response to heat|PSII associated light-harvesting complex II catabolic process|response to high light intensity|cell division,|0004176|0008237|0004175|0005524|0046872|0004176|0008237|0004175|0005524|0046872,|ATP-dependent peptidase activity|metallopeptidase activity|endopeptidase activity|ATP binding|metal ion binding|ATP-dependent peptidase activity|metallopeptidase activity|endopeptidase activity|ATP binding|metal ion binding,|0005739|0016020|0009941|0009534|0005739|0016020|0009941|0009534,|mitochondrion|membrane|chloroplast envelope|chloroplast thylakoid|mitochondrion|membrane|chloroplast envelope|chloroplast thylakoid,40.8835,103.51,154.5935,0
TRINITY_DN6993_c0_g1_i6,TAF2_ARATH,PF01433.21,Peptidase family M1 domain ,|0006508|0006413|0006367|0070370|0006298|0006355,|proteolysis|translational initiation|transcription initiation from RNA polymerase II promoter|cellular heat acclimation|mismatch repair|regulation of transcription DNA-templated,|0008237|0008270|0003743|0016251|0003682|0000976|0004177|0030983|0016779|0005524,|metallopeptidase activity|zinc ion binding|translation initiation factor activity|RNA polymerase II general transcription initiation factor activity|chromatin binding|transcription regulatory region sequence-specific DNA binding|aminopeptidase activity|mismatched DNA binding|nucleotidyltransferase activity|ATP binding,|0005669|0009506|0005829|0016021,|transcription factor TFIID complex|plasmodesma|cytosol|integral component of membrane,429.165,101.92,404.7215,0
TRINITY_DN6999_c0_g1_i2,NRPE1_ARATH,PF11523.9,Protein of unknown function (DUF3223),.,.,.,.,.,.,0,132.883,340.7325,0
TRINITY_DN6_c0_g1_i13,SF3B1_XENLA,PF02985.23,HEAT repeat   ,|0000245|0000245,|spliceosomal complex assembly|spliceosomal complex assembly,|0003729|0003729,|mRNA binding|mRNA binding,|0005681|0005686|1902494|0016021|0005681|0005686|1902494|0016021,|spliceosomal complex|U2 snRNP|catalytic complex|integral component of membrane|spliceosomal complex|U2 snRNP|catalytic complex|integral component of membrane,311.097,912.0355,207.9745,80.8405
TRINITY_DN7000_c0_g1_i2,AB10C_ARATH,PF00005.28,ABC transporter   ,|0055085|0005975,|transmembrane transport|carbohydrate metabolic process,|0042626|0005524|0008270|0004553|0003676,|ATPase-coupled transmembrane transporter activity|ATP binding|zinc ion binding|hydrolase activity hydrolyzing O-glycosyl compounds|nucleic acid binding,|0000325|0005774|0016021,|plant-type vacuole|vacuolar membrane|integral component of membrane,0,0,85.9805,0
