,Table S1. All DEGs obtained in this study.,,,,,,,,
TRINITY_DN6531_c0_g1_i4,NEMF_MOUSE,PF05670.14,NFACT protein RNA binding domain,|1990116|0072344|0016567,|ribosome-associated ubiquitin-dependent protein catabolic process|rescue of stalled ribosome|protein ubiquitination,|0008270|0003676|0043023|0016746|0004842,|zinc ion binding|nucleic acid binding|ribosomal large subunit binding|transferase activity transferring acyl groups|ubiquitin-protein transferase activity,|1990112,|RQC complex
TRINITY_DN6534_c0_g1_i21,APGM_METKA,PF10143.10,2,.,.,|0046537|0046872,|23-bisphosphoglycerate-independent phosphoglycerate mutase activity|metal ion binding,.,.
TRINITY_DN6573_c0_g1_i2,SCL28_ARATH,PF03514.15,GRAS domain family  ,|1900459|0006355,|positive regulation of brassinosteroid mediated signaling pathway|regulation of transcription DNA-templated,|0043565|0003700|0046983,|sequence-specific DNA binding|DNA-binding transcription factor activity|protein dimerization activity,|0005634,|nucleus
TRINITY_DN6573_c0_g2_i1,SCL28_ARATH,PF03514.15,GRAS domain family  ,|1900459|0006355,|positive regulation of brassinosteroid mediated signaling pathway|regulation of transcription DNA-templated,|0043565|0003700|0046983,|sequence-specific DNA binding|DNA-binding transcription factor activity|protein dimerization activity,|0005634,|nucleus
TRINITY_DN6616_c0_g1_i3,TMN12_ARATH,PF02990.17,Endomembrane protein 70  ,|0072657|0006817,|protein localization to membrane|phosphate ion transport,.,.,|0010008|0000139|0016021|0009506|0005802|0005774,|endosome membrane|Golgi membrane|integral component of membrane|plasmodesma|trans-Golgi network|vacuolar membrane
TRINITY_DN6627_c0_g1_i15,ALAT2_ARATH,PF00155.22,Aminotransferase class I and II,|0009058|0042853,|biosynthetic process|L-alanine catabolic process,|0008483|0030170,|transaminase activity|pyridoxal phosphate binding,|0016021,|integral component of membrane
TRINITY_DN6646_c0_g1_i4,SRF7_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0018212,|protein phosphorylation|peptidyl-tyrosine modification,|0004672|0005524,|protein kinase activity|ATP binding,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN6652_c0_g1_i1,NFYA2_ARATH,PF02045.16,CCAAT-binding transcription factor (CBF-B/NF-YA) subunit,|0006355,|regulation of transcription DNA-templated,|0003700|0003677|0001067|0003723,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|RNA binding,|0016602|0000785|0016021,|CCAAT-binding factor complex|chromatin|integral component of membrane
TRINITY_DN6659_c0_g1_i2,PWD_ORYSJ,PF01326.20,Pyruvate phosphate dikinase,|0016310|0005982|0006464|0009251|0044247,|phosphorylation|starch metabolic process|cellular protein modification process|glucan catabolic process|cellular polysaccharide catabolic process,|2001070|0016301|0005524|0102217|0046872,|starch binding|kinase activity|ATP binding|6-phosphoglucan water dikinase activity|metal ion binding,|0009570,|chloroplast stroma
TRINITY_DN666_c0_g1_i4,RTNLP_ARATH,PF02453.18,Reticulon    ,|0090305,|nucleic acid phosphodiester bond hydrolysis,|0004519|0008270,|endonuclease activity|zinc ion binding,|0005789|0016021,|endoplasmic reticulum membrane|integral component of membrane
TRINITY_DN6688_c0_g1_i2,STN8_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0042548|0009643|0007623|0006468|0042549,|protein phosphorylation|regulation of photosynthesis light reaction|photosynthetic acclimation|circadian rhythm|protein phosphorylation|photosystem II stabilization,|0004672|0005524|0005515|0004672|0005524,|protein kinase activity|ATP binding|protein binding|protein kinase activity|ATP binding,|0009579|0009507|0031984|0016021|0009579|0009507|0031984|0016021,|thylakoid|chloroplast|organelle subcompartment|integral component of membrane|thylakoid|chloroplast|organelle subcompartment|integral component of membrane
TRINITY_DN668_c0_g1_i11,PTR18_ARATH,PF13380.7,CoA binding domain  ,|0010336|0055085,|gibberellic acid homeostasis|transmembrane transport,|0022857,|transmembrane transporter activity,|0097708|0005886|0016021,|intracellular vesicle|plasma membrane|integral component of membrane
TRINITY_DN669_c0_g1_i1,EIL1B_ORYSJ,PF04873.14,Ethylene insensitive 3  ,|0009873|0006355,|ethylene-activated signaling pathway|regulation of transcription DNA-templated,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN674_c0_g1_i3,TF3B_MOUSE,PF00382.20,Transcription factor TFIIB repeat ,|0070897|0006383|0070897|0006383,|transcription preinitiation complex assembly|transcription by RNA polymerase III|transcription preinitiation complex assembly|transcription by RNA polymerase III,|0017025|0000995|0001006|0000995|0017025|0001006,|TBP-class protein binding|RNA polymerase III general transcription initiation factor activity|RNA polymerase III type 3 promoter sequence-specific DNA binding|RNA polymerase III general transcription initiation factor activity|TBP-class protein binding|RNA polymerase III type 3 promoter sequence-specific DNA binding,|0000126|0097550|0005634|0000126|0097550|0005634,|transcription factor TFIIIB complex|transcription preinitiation complex|nucleus|transcription factor TFIIIB complex|transcription preinitiation complex|nucleus
TRINITY_DN6785_c0_g1_i19,MORC2_ARATH,PF17942.2,Morc6 ribosomal protein S5 domain,|0090305|1902290|0140458|0031935,|nucleic acid phosphodiester bond hydrolysis|positive regulation of defense response to oomycetes|pre-transcriptional gene silencing by RNA|regulation of chromatin silencing,|0004519|0042803|0016887|0005507,|endonuclease activity|protein homodimerization activity|ATPase activity|copper ion binding,|0009506|0009941|0005634,|plasmodesma|chloroplast envelope|nucleus
TRINITY_DN6812_c0_g1_i2,LNG1_ARATH,PF14309.7,Domain of unknown function (DUF4378),.,.,.,.,.,.
TRINITY_DN6833_c0_g1_i19,REV1_ARATH,PF00817.21,impB/mucB/samB family   ,|0042276|0070987|0010224,|error-prone translesion synthesis|error-free translesion synthesis|response to UV-B,|0003684|0016779|0140097|0046872,|damaged DNA binding|nucleotidyltransferase activity|catalytic activity acting on DNA|metal ion binding,|0005634,|nucleus
TRINITY_DN6864_c0_g1_i1,SC31B_ARATH,PF12931.8,Sec23-binding domain of Sec16 ,|0006888|0035459|0006900|0007029|0006886,|endoplasmic reticulum to Golgi vesicle-mediated transport|vesicle cargo loading|vesicle budding from membrane|endoplasmic reticulum organization|intracellular protein transport,|0005198,|structural molecule activity,|0005783|0030127|0000139|0016021,|endoplasmic reticulum|COPII vesicle coat|Golgi membrane|integral component of membrane
TRINITY_DN6910_c0_g1_i2,Y6944_ORYSJ,PF02362.22,B3 DNA binding domain ,.,.,|0003677,|DNA binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN692_c0_g1_i19,DHR12_BOVIN,.,.,.,.,.,.,.,.
TRINITY_DN694_c0_g1_i7,LEC2_COLES,PF01453.25,D-mannose binding lectin  ,.,.,|0030246,|carbohydrate binding,.,.
TRINITY_DN6964_c0_g1_i1,GOLS2_ARATH,PF01501.21,Glycosyl transferase family 8 ,|0006012|0009409|0006979|0009651|0009414|0009737|0009408,|galactose metabolic process|response to cold|response to oxidative stress|response to salt stress|response to water deprivation|response to abscisic acid|response to heat,|0047216,|inositol 3-alpha-galactosyltransferase activity,|0005737,|cytoplasm
TRINITY_DN6970_c0_g1_i5,HVT1_ARATH,PF04408.24,Helicase associated domain (HA2) ,.,.,|0003724|0005524|0003676,|RNA helicase activity|ATP binding|nucleic acid binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN6976_c0_g1_i7,PP159_ARATH,PF13041.7,PPR repeat family  ,|0009451|0045489|0009793,|RNA modification|pectin biosynthetic process|embryo development ending in seed dormancy,|0008270|0003723|0047262|0016787,|zinc ion binding|RNA binding|polygalacturonate 4-alpha-galacturonosyltransferase activity|hydrolase activity,|0043231|0005737,|intracellular membrane-bounded organelle|cytoplasm
TRINITY_DN697_c0_g1_i1,FTSHB_ARATH,PF01434.19,Peptidase family M41  ,|0006508|0009408|0010304|0009644|0051301|0006508|0009408|0010304|0009644|0051301,|proteolysis|response to heat|PSII associated light-harvesting complex II catabolic process|response to high light intensity|cell division|proteolysis|response to heat|PSII associated light-harvesting complex II catabolic process|response to high light intensity|cell division,|0004176|0008237|0004175|0005524|0046872|0004176|0008237|0004175|0005524|0046872,|ATP-dependent peptidase activity|metallopeptidase activity|endopeptidase activity|ATP binding|metal ion binding|ATP-dependent peptidase activity|metallopeptidase activity|endopeptidase activity|ATP binding|metal ion binding,|0005739|0016020|0009941|0009534|0005739|0016020|0009941|0009534,|mitochondrion|membrane|chloroplast envelope|chloroplast thylakoid|mitochondrion|membrane|chloroplast envelope|chloroplast thylakoid
TRINITY_DN6993_c0_g1_i6,TAF2_ARATH,PF01433.21,Peptidase family M1 domain ,|0006508|0006413|0006367|0070370|0006298|0006355,|proteolysis|translational initiation|transcription initiation from RNA polymerase II promoter|cellular heat acclimation|mismatch repair|regulation of transcription DNA-templated,|0008237|0008270|0003743|0016251|0003682|0000976|0004177|0030983|0016779|0005524,|metallopeptidase activity|zinc ion binding|translation initiation factor activity|RNA polymerase II general transcription initiation factor activity|chromatin binding|transcription regulatory region sequence-specific DNA binding|aminopeptidase activity|mismatched DNA binding|nucleotidyltransferase activity|ATP binding,|0005669|0009506|0005829|0016021,|transcription factor TFIID complex|plasmodesma|cytosol|integral component of membrane
TRINITY_DN6999_c0_g1_i2,NRPE1_ARATH,PF11523.9,Protein of unknown function (DUF3223),.,.,.,.,.,.
TRINITY_DN6_c0_g1_i13,SF3B1_XENLA,PF02985.23,HEAT repeat   ,|0000245|0000245,|spliceosomal complex assembly|spliceosomal complex assembly,|0003729|0003729,|mRNA binding|mRNA binding,|0005681|0005686|1902494|0016021|0005681|0005686|1902494|0016021,|spliceosomal complex|U2 snRNP|catalytic complex|integral component of membrane|spliceosomal complex|U2 snRNP|catalytic complex|integral component of membrane
TRINITY_DN7000_c0_g1_i2,AB10C_ARATH,PF00005.28,ABC transporter   ,|0055085|0005975,|transmembrane transport|carbohydrate metabolic process,|0042626|0005524|0008270|0004553|0003676,|ATPase-coupled transmembrane transporter activity|ATP binding|zinc ion binding|hydrolase activity hydrolyzing O-glycosyl compounds|nucleic acid binding,|0000325|0005774|0016021,|plant-type vacuole|vacuolar membrane|integral component of membrane
TRINITY_DN701_c0_g1_i1,SYYC1_ARATH,PF00579.26,tRNA synthetases class I (W,|0006418|0006418|0070588|0006730|0006189|0006468,|tRNA aminoacylation for protein translation|tRNA aminoacylation for protein translation|calcium ion transmembrane transport|one-carbon metabolic process|'de novo' IMP biosynthetic process|protein phosphorylation,|0004831|0005524|0004830|0004812|0005524|0015369|0008864|0016742|0004672,|tyrosine-tRNA ligase activity|ATP binding|tryptophan-tRNA ligase activity|aminoacyl-tRNA ligase activity|ATP binding|calcium:proton antiporter activity|formyltetrahydrofolate deformylase activity|hydroxymethyl- formyl- and related transferase activity|protein kinase activity,|0005829|0016021|0016021,|cytosol|integral component of membrane|integral component of membrane
TRINITY_DN7027_c0_g1_i1,SBT4_LOTJA,PF00082.23,Subtilase family   ,|0006508|0006508,|proteolysis|proteolysis,|0004252|0004252|0046872,|serine-type endopeptidase activity|serine-type endopeptidase activity|metal ion binding,|0048046|0005615|0016021,|apoplast|extracellular space|integral component of membrane
TRINITY_DN7027_c0_g1_i11,SBT4_LOTJA,PF00082.23,Subtilase family   ,.,.,.,.,.,.
TRINITY_DN7035_c0_g2_i4,ADF5_ORYSJ,PF00241.21,Cofilin/tropomyosin-type actin-binding protein  ,|0030042|0051017|0055085,|actin filament depolymerization|actin filament bundle assembly|transmembrane transport,|0003779|0044877|0022857,|actin binding|protein-containing complex binding|transmembrane transporter activity,|0015629|0005737|0016021,|actin cytoskeleton|cytoplasm|integral component of membrane
TRINITY_DN7038_c0_g1_i1,CB2B_SOLLC,PF00504.22,Chlorophyll A-B binding protein ,|0009765|0018298|0009416|0006887,|photosynthesis light harvesting|protein-chromophore linkage|response to light stimulus|exocytosis,|0016168|0046872,|chlorophyll binding|metal ion binding,|0009522|0009523|0009535|0010287|0009941|0000145|0016021,|photosystem I|photosystem II|chloroplast thylakoid membrane|plastoglobule|chloroplast envelope|exocyst|integral component of membrane
TRINITY_DN7068_c0_g1_i7,ATCA2_ARATH,PF04832.13,SOUL heme-binding protein  ,.,.,|0020037,|heme binding,|0010287|0009535|0016021,|plastoglobule|chloroplast thylakoid membrane|integral component of membrane
TRINITY_DN7077_c0_g1_i1,CML29_ORYSJ,PF00036.33,EF hand   ,.,.,|0005509,|calcium ion binding,.,.
TRINITY_DN7079_c0_g1_i12,AB9C_ARATH,PF00664.24,ABC transporter transmembrane region ,|0055085|0009624|0042908,|transmembrane transport|response to nematode|xenobiotic transport,|0042626|0005524|0042910,|ATPase-coupled transmembrane transporter activity|ATP binding|xenobiotic transmembrane transporter activity,|0000325|0005774|0016021|0009506,|plant-type vacuole|vacuolar membrane|integral component of membrane|plasmodesma
TRINITY_DN709_c0_g3_i14,LNK1_ARATH,PF08599.11,DNA damage repair protein Nbs1,.,.,.,.,.,.
TRINITY_DN7163_c0_g1_i2,MCM4_ORYSJ,PF00493.24,MCM P-loop domain  ,|0006270|0032508|1902299|0000727|1902969|0006271|0009555|0070919|0030422|1902600|0001172,|DNA replication initiation|DNA duplex unwinding|pre-replicative complex assembly involved in cell cycle DNA replication|double-strand break repair via break-induced replication|mitotic DNA replication|DNA strand elongation involved in DNA replication|pollen development|production of siRNA involved in chromatin silencing by small RNA|production of siRNA involved in RNA interference|proton transmembrane transport|transcription RNA-templated,|0003678|0003677|0005524|0015078|0003968,|DNA helicase activity|DNA binding|ATP binding|proton transmembrane transporter activity|RNA-directed 5'-3' RNA polymerase activity,|0042555|0005634|0005829|0033179|0031379|0016021,|MCM complex|nucleus|cytosol|proton-transporting V-type ATPase V0 domain|RNA-directed RNA polymerase complex|integral component of membrane
TRINITY_DN7172_c0_g1_i2,FKB62_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0009620|0006412|0034976|0043086|0005975|0000413|0061077,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|response to fungus|translation|response to endoplasmic reticulum stress|negative regulation of catalytic activity|carbohydrate metabolic process|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding,|0003755|0003735|0004857|0004553|0003755,|peptidyl-prolyl cis-trans isomerase activity|structural constituent of ribosome|enzyme inhibitor activity|hydrolase activity hydrolyzing O-glycosyl compounds|peptidyl-prolyl cis-trans isomerase activity,|0005783|0005840|0005773|0016021|0005794|0005829|0009579|0005737|0016021,|endoplasmic reticulum|ribosome|vacuole|integral component of membrane|Golgi apparatus|cytosol|thylakoid|cytoplasm|integral component of membrane
TRINITY_DN7172_c0_g1_i20,FKB62_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0000413|0061077|0070370,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|cellular heat acclimation,|0003755|0003755,|peptidyl-prolyl cis-trans isomerase activity|peptidyl-prolyl cis-trans isomerase activity,|0009579|0005737|0016021|0005737|0009579|0043231|0016021,|thylakoid|cytoplasm|integral component of membrane|cytoplasm|thylakoid|intracellular membrane-bounded organelle|integral component of membrane
TRINITY_DN7172_c0_g1_i25,FKB70_WHEAT,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0009620|0034976|0006412|0005975|0000413|0061077|0009845|0046686|0006970|0009611|0009408,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|response to fungus|response to endoplasmic reticulum stress|translation|carbohydrate metabolic process|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|seed germination|response to cadmium ion|response to osmotic stress|response to wounding|response to heat,|0003755|0003735|0004553|0003755|0080025|0032266,|peptidyl-prolyl cis-trans isomerase activity|structural constituent of ribosome|hydrolase activity hydrolyzing O-glycosyl compounds|peptidyl-prolyl cis-trans isomerase activity|phosphatidylinositol-35-bisphosphate binding|phosphatidylinositol-3-phosphate binding,|0005783|0005840|0005773|0005794|0005829|0016021|0009579|0005737|0005634|0071944|0016021,|endoplasmic reticulum|ribosome|vacuole|Golgi apparatus|cytosol|integral component of membrane|thylakoid|cytoplasm|nucleus|cell periphery|integral component of membrane
TRINITY_DN7172_c0_g1_i31,FKB70_WHEAT,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding,|0003755,|peptidyl-prolyl cis-trans isomerase activity,|0009579|0005737|0016021,|thylakoid|cytoplasm|integral component of membrane
TRINITY_DN7172_c0_g1_i35,FK151_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0000413|0061077|0009620|0034976|0006412|0005975,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|response to fungus|response to endoplasmic reticulum stress|translation|carbohydrate metabolic process,|0003755|0003755|0003735|0004553,|peptidyl-prolyl cis-trans isomerase activity|peptidyl-prolyl cis-trans isomerase activity|structural constituent of ribosome|hydrolase activity hydrolyzing O-glycosyl compounds,|0009579|0005737|0016021|0005783|0005840|0005773|0005794|0005829|0016021,|thylakoid|cytoplasm|integral component of membrane|endoplasmic reticulum|ribosome|vacuole|Golgi apparatus|cytosol|integral component of membrane
TRINITY_DN7172_c0_g1_i4,FKB62_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding,|0003755,|peptidyl-prolyl cis-trans isomerase activity,|0009579|0005737|0016021,|thylakoid|cytoplasm|integral component of membrane
TRINITY_DN7172_c0_g1_i40,FKB70_WHEAT,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0009845|0046686|0006970|0009611|0009408,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|seed germination|response to cadmium ion|response to osmotic stress|response to wounding|response to heat,|0003755|0080025|0032266,|peptidyl-prolyl cis-trans isomerase activity|phosphatidylinositol-35-bisphosphate binding|phosphatidylinositol-3-phosphate binding,|0009579|0005737|0005634|0071944|0016021,|thylakoid|cytoplasm|nucleus|cell periphery|integral component of membrane
TRINITY_DN7194_c0_g1_i2,MGDG3_ORYSJ,PF04101.17,Glycosyltransferase family 28 C-terminal domain,|0009247|0034314|0030912|0009735|0009739|0009651|0009414|0009409|0009416|0007018|0045017,|glycolipid biosynthetic process|Arp2/3 complex-mediated actin nucleation|response to deep water|response to cytokinin|response to gibberellin|response to salt stress|response to water deprivation|response to cold|response to light stimulus|microtubule-based movement|glycerolipid biosynthetic process,|0046509|0003777|0008017|0005524,|12-diacylglycerol 3-beta-galactosyltransferase activity|microtubule motor activity|microtubule binding|ATP binding,|0016020|0005885|0005737|0009579|0031984|0043231|0031967,|membrane|Arp2/3 protein complex|cytoplasm|thylakoid|organelle subcompartment|intracellular membrane-bounded organelle|organelle envelope
TRINITY_DN7214_c0_g1_i4,SFH12_ARATH,PF00650.21,CRAL/TRIO domain   ,.,.,.,.,|0016021,|integral component of membrane
TRINITY_DN7218_c0_g1_i1,XAT3_ORYSJ,PF04577.15,Protein of unknown function (DUF563),.,.,|0016757,|transferase activity transferring glycosyl groups,|0005794|0016021,|Golgi apparatus|integral component of membrane
TRINITY_DN7263_c0_g1_i12,GAGT1_ARATH,PF01019.22,Gamma-glutamyltranspeptidase    ,|0006751|0006508|0018215|0006412|0034775|0006979,|glutathione catabolic process|proteolysis|protein phosphopantetheinylation|translation|glutathione transmembrane transport|response to oxidative stress,|0036374|0016755,|glutathione hydrolase activity|transferase activity transferring amino-acyl groups,|0048046|0005886|0009506|0016021,|apoplast|plasma membrane|plasmodesma|integral component of membrane
TRINITY_DN7263_c0_g1_i3,GAGT1_ARATH,PF01019.22,Gamma-glutamyltranspeptidase    ,|0006751|0006508|0018215|0006412|0034775|0006979,|glutathione catabolic process|proteolysis|protein phosphopantetheinylation|translation|glutathione transmembrane transport|response to oxidative stress,|0036374|0016755,|glutathione hydrolase activity|transferase activity transferring amino-acyl groups,|0048046|0005886|0009506|0016021,|apoplast|plasma membrane|plasmodesma|integral component of membrane
TRINITY_DN72_c0_g1_i20,EAF6_XENLA,PF09340.11,Histone acetyltransferase subunit NuA4 ,|0016573,|histone acetylation,|0016740,|transferase activity,|0000123|0005773,|histone acetyltransferase complex|vacuole
TRINITY_DN732_c0_g3_i2,ENDB1_SOLTU,PF07992.15,Pyridine nucleotide-disulphide oxidoreductase  ,.,.,.,.,.,.
TRINITY_DN7347_c0_g1_i2,SAD2H_ARATH,PF02724.15,CDC45-like protein   ,|0006886|0051170|0034504|0017038|0072594,|intracellular protein transport|import into nucleus|protein localization to nucleus|protein import|establishment of protein localization to organelle,.,.,|0005635|0005829|0016021,|nuclear envelope|cytosol|integral component of membrane
TRINITY_DN7358_c0_g1_i3,BASS5_ORYSJ,PF01758.17,Sodium Bile acid symporter family,|0033506|0015718|0009753|0009611|0015850|1905039,|glucosinolate biosynthetic process from homomethionine|monocarboxylic acid transport|response to jasmonic acid|response to wounding|organic hydroxy compound transport|carboxylic acid transmembrane transport,|0008028|0015665|0008514,|monocarboxylic acid transmembrane transporter activity|alcohol transmembrane transporter activity|organic anion transmembrane transporter activity,|0009941|0016021,|chloroplast envelope|integral component of membrane
TRINITY_DN7359_c0_g1_i1,KN12C_ORYSJ,PF00225.24,Kinesin motor domain  ,|0007018,|microtubule-based movement,|0003777|0008017|0005524|0016887,|microtubule motor activity|microtubule binding|ATP binding|ATPase activity,|0005874|0005871|0016021,|microtubule|kinesin complex|integral component of membrane
TRINITY_DN7362_c0_g1_i17,SRL2_ORYSJ,PF14271.7,Domain of unknown function (DUF4359),.,.,.,.,.,.
TRINITY_DN7380_c0_g1_i12,YF1F_SCHPO,PF13460.7,NAD(P)H-binding    ,|0032981|0032981,|mitochondrial respiratory chain complex I assembly|mitochondrial respiratory chain complex I assembly,|0051082,|unfolded protein binding,|0009570,|chloroplast stroma
TRINITY_DN7394_c0_g1_i4,HIBC6_ARATH,PF16113.6,Enoyl-CoA hydratase/isomerase   ,|0006574,|valine catabolic process,|0003860,|3-hydroxyisobutyryl-CoA hydrolase activity,|0005829|0009507|0005739|0016021,|cytosol|chloroplast|mitochondrion|integral component of membrane
TRINITY_DN7411_c0_g1_i8,AB14G_ARATH,PF01061.25,ABC-2 type transporter  ,|0055085|0010184|0010222|0010588|0009736|0042542|0042742|0140352,|transmembrane transport|cytokinin transport|stem vascular tissue pattern formation|cotyledon vascular tissue pattern formation|cytokinin-activated signaling pathway|response to hydrogen peroxide|defense response to bacterium|export from cell,|0042626|0005524|0015562,|ATPase-coupled transmembrane transporter activity|ATP binding|efflux transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN7455_c0_g1_i1,HTSF1_MOUSE,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0000398,|mRNA splicing via spliceosome,|0003723,|RNA binding,|0005684|0005686,|U2-type spliceosomal complex|U2 snRNP
TRINITY_DN748_c0_g1_i13,BIOF_ARATH,PF00155.22,Aminotransferase class I and II,|0009102,|biotin biosynthetic process,|0030170|0003824,|pyridoxal phosphate binding|catalytic activity,|0042579|0005829|0016021,|microbody|cytosol|integral component of membrane
TRINITY_DN7490_c0_g1_i7,HCAR_ORYSJ,PF04432.14,Coenzyme F420 hydrogenase/dehydrogenase,.,.,.,.,.,.
TRINITY_DN750_c0_g1_i27,BP103_ORYSJ,PF17675.2,Apg6 coiled-coil region  ,|0010155|0010155,|regulation of proton transport|regulation of proton transport,|0005515|0003729|0005515,|protein binding|mRNA binding|protein binding,|0005783|0005886|0016021|0005783|0016021|0009506|0005886|0042175|0031984|0031090|0005829,|endoplasmic reticulum|plasma membrane|integral component of membrane|endoplasmic reticulum|integral component of membrane|plasmodesma|plasma membrane|nuclear outer membrane-endoplasmic reticulum membrane network|organelle subcompartment|organelle membrane|cytosol
TRINITY_DN7521_c0_g1_i12,FZL_ARATH,PF00350.24,Dynamin family   ,|0010027|0034051|0010228,|thylakoid membrane organization|negative regulation of plant-type hypersensitive response|vegetative to reproductive phase transition of meristem,|0005525|0003824,|GTP binding|catalytic activity,|0031969|0009527|0016021|0009528|0009535,|chloroplast membrane|plastid outer membrane|integral component of membrane|plastid inner membrane|chloroplast thylakoid membrane
TRINITY_DN7521_c0_g1_i5,FZL_ARATH,PF00350.24,Dynamin family   ,|0010027|0034051|0010228|0010027|0034051|0010228,|thylakoid membrane organization|negative regulation of plant-type hypersensitive response|vegetative to reproductive phase transition of meristem|thylakoid membrane organization|negative regulation of plant-type hypersensitive response|vegetative to reproductive phase transition of meristem,|0005525|0003824|0005525|0003824,|GTP binding|catalytic activity|GTP binding|catalytic activity,|0031969|0009527|0016021|0009528|0009535|0031969|0009527|0016021,|chloroplast membrane|plastid outer membrane|integral component of membrane|plastid inner membrane|chloroplast thylakoid membrane|chloroplast membrane|plastid outer membrane|integral component of membrane
TRINITY_DN7522_c0_g1_i20,HSP11_MEDSA,PF00011.22,Hsp20/alpha crystallin family  ,|0042542|0009651|0009408|0051259|0006457,|response to hydrogen peroxide|response to salt stress|response to heat|protein complex oligomerization|protein folding,|0043621|0051082,|protein self-association|unfolded protein binding,|0005737,|cytoplasm
TRINITY_DN7558_c0_g1_i4,C90B2_ORYSJ,PF00067.23,Cytochrome P450   ,.,.,.,.,.,.
TRINITY_DN757_c0_g1_i9,BRG1_ARATH,PF13920.7,Zinc finger,|0043067|0016567|0043161|0006952,|regulation of programmed cell death|protein ubiquitination|proteasome-mediated ubiquitin-dependent protein catabolic process|defense response,|0046872|0004842|0016746|0016874,|metal ion binding|ubiquitin-protein transferase activity|transferase activity transferring acyl groups|ligase activity,.,.
TRINITY_DN7583_c0_g1_i3,ICR2_ARATH,PF17649.2,Vacuolar protein sorting 38 ,|0000160|0016310|0006412,|phosphorelay signal transduction system|phosphorylation|translation,|0016301|0003735,|kinase activity|structural constituent of ribosome,|0015935|0005886,|small ribosomal subunit|plasma membrane
TRINITY_DN7584_c0_g1_i2,HSP7C_PETHY,PF00012.21,Hsp70 protein   ,|0051085|0034620|0042026|0009615|0009408,|chaperone cofactor-dependent protein refolding|cellular response to unfolded protein|protein refolding|response to virus|response to heat,|0051787|0044183|0005524|0031072|0051082|0016887,|misfolded protein binding|protein folding chaperone|ATP binding|heat shock protein binding|unfolded protein binding|ATPase activity,|0005788|0005618|0005886,|endoplasmic reticulum lumen|cell wall|plasma membrane
TRINITY_DN7584_c0_g1_i5,HSP72_SOLLC,PF00012.21,Hsp70 protein   ,|0051085|0034620|0042026|0009615|0009408,|chaperone cofactor-dependent protein refolding|cellular response to unfolded protein|protein refolding|response to virus|response to heat,|0051787|0044183|0005524|0031072|0051082|0016887,|misfolded protein binding|protein folding chaperone|ATP binding|heat shock protein binding|unfolded protein binding|ATPase activity,|0005788|0005618|0005886,|endoplasmic reticulum lumen|cell wall|plasma membrane
TRINITY_DN7586_c0_g1_i24,PAN_METKA,PF00004.30,ATPase family associated with various,|0051301|0045899|0030433,|cell division|positive regulation of RNA polymerase II transcription preinitiation complex assembly|ubiquitin-dependent ERAD pathway,|0016887|0005524,|ATPase activity|ATP binding,|0008540|0031597|0016021,|proteasome regulatory particle base subcomplex|cytosolic proteasome complex|integral component of membrane
